암호화요양기호,위치_공공건물(장소)명
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxNzAyIzMxIyQxIyQ3IyQxMyQyNjEyMjIjNDEjJDEjJDgjJDgz,수정구 보건소 맞은편
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxNzAyIzQxIyQyIyQ3IyQwMCQyNjEwMDIjNjEjJDEjJDgjJDgz,성남시 분당구 정자로 88 성심빌딩 2층
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxNzAyIzUxIyQxIyQxIyQxMyQ0NjE0ODEjNTEjJDEjJDYjJDgz,ZARA 매장
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxOTYxIzIxIyQxIyQ1IyQ2MiQyNjEwMDIjNzEjJDEjJDgjJDgz,(구) 성남시청 앞 하나은행 2층
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxOTYxIzIxIyQxIyQ1IyQwMyQzNjE0ODEjNDEjJDEjJDgjJDgz,
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxOTYxIzIxIyQxIyQ1IyQxMyQzNjEwMDIjNjEjJDEjJDgjJDgz,수내동 46번길11 대덕글로리빌딩 3층
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxOTYxIzIxIyQxIyQ5IyQ3MiQzNjEyMjIjNDEjJDEjJDgjJDgz,국민은행 백궁지점 금곡프라자2층
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxOTYxIzIxIyQxIyQ5IyQ4MiQ0NjEwMDIjNTEjJDEjJDYjJDgz,
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxOTYxIzIxIyQxIyQ5IyQwMyQyNjEwMDIjNTEjJDEjJDIjJDgz,
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxOTYxIzMxIyQxIyQ3IyQwMyQzNjEyMjIjNjEjJDEjJDgjJDgz,
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxOTYxIzMxIyQxIyQzIyQ3OSQyNjEyMjIjODEjJDEjJDYjJDgz,명건빌딩
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxOTYxIzMxIyQxIyQzIyQxMyQzNjEwMDIjODEjJDEjJDYjJDgz,효자촌 농협
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxOTYxIzMxIyQyIyQzIyQwMCQyNjE4MzIjODEjJDEjJDYjJDgz,동신파크빌딩
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxOTYxIzQxIyQxIyQ3IyQ3OSQzNjE4MzIjNTEjJDEjJDIjJDgz,이매동 씨티은행옆
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxOTYxIzQxIyQxIyQ3IyQ5OSQzNjEyMjIjODEjJDEjJDYjJDgz,
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxOTYxIzUxIyQxIyQ1IyQ5OSQ0NjEwMDIjNjEjJDEjJDgjJDgz,
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxOTYxIzUxIyQxIyQ1IyQwMyQ0NjE0ODEjNDEjJDEjJDgjJDgz,이마트 건너 숯골 사거리
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxOTYxIzUxIyQxIyQxIyQ2MiQzNjE4MzIjODEjJDEjJDIjJDgz,코오롱 스포렉스
